,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
complexity_avg_raw_std,1.0,0.1367693615808655,0.01460246110718269,-0.22806137734122808,0.22902508673227612,0.2439278783091013,0.20193932285458568,0.22016130571350873,-0.43130544304624435,-0.6620762205461856,-0.6650424339069212,-0.36934593894897955,-0.7311795300909751,-0.6649753847630968,-0.4383217236694422,-0.6333267209086526,-0.601443526102008,-0.4313674283612798,-0.6840494524477769,-0.5894180018068087,,,,0.18553180461306987,0.039751520908225396,0.04707063514537922
complexity_avg_norm_std,0.1367693615808655,1.0,0.14158087400106065,0.14889407485094935,0.13763030528661285,0.11213218242335013,0.13460173982948517,0.11596930804503405,-0.16704101961196588,-0.18477011894436657,-0.2696801325561965,-0.5201101832031573,-0.05756197366982628,-0.07386799236662331,-0.2244789346513989,-0.25331892442258475,-0.33036274341199245,-0.46252484001471733,-0.10944446235528717,-0.11583665001325422,,,,-0.4564991647652686,0.20237101693027523,0.2254789981822552
complexity_div_std,0.01460246110718269,0.14158087400106065,1.0,0.6545637382452304,0.5072588255003259,0.4822940742552196,0.5048379740320894,0.4996735245988907,-0.4811078352941611,-0.5015903302737514,-0.5201999517050215,-0.49190321373660567,-0.3250286071881087,-0.23625350787015953,-0.49224390536075036,-0.5292965810119811,-0.5421517796281374,-0.5443759273729722,-0.3252596113073297,-0.2592208977789224,,,,0.19831168182407044,0.06615700973828655,0.05874353790042459
complexity_disp_std,-0.22806137734122808,0.14889407485094935,0.6545637382452304,1.0,0.7980152536047549,0.78386605356512,0.8261113292371881,0.8154852283700506,-0.19304017113095817,-0.31789176648563433,-0.2032788698822753,-0.3391461570780568,-0.061138824320249814,0.022877680259105145,-0.22081209270698185,-0.3393113457579674,-0.2550171429165408,-0.41593193914579457,-0.08682331926302475,-0.0328645781342412,,,,0.26058439696301533,0.2086042728670755,0.2115984388595869
complexity_diss_aa_seq_std,0.22902508673227612,0.13763030528661285,0.5072588255003259,0.7980152536047549,1.0,0.9926862869845365,0.9963909035503794,0.9888931821863967,-0.27186170596346115,-0.5925061230332366,-0.4987079795805712,-0.42989012504159585,-0.4178502761273566,-0.33783025780428066,-0.30544669692731014,-0.5491029392930945,-0.5003177350328109,-0.5140544943593616,-0.36728803550635813,-0.3182340045066609,,,,0.28165720311204223,0.22314875872076922,0.2273441646505991
complexity_diss_aa_mset_std,0.2439278783091013,0.11213218242335013,0.4822940742552196,0.78386605356512,0.9926862869845365,1.0,0.9905565468321603,0.9960339758941416,-0.2891108896748493,-0.5931796129924846,-0.48741922497172385,-0.4423815275313184,-0.4289538520997838,-0.35681529247974775,-0.3243952922924612,-0.545232812699625,-0.48427031011301885,-0.5256101475774205,-0.37711186709823924,-0.34091641812776463,,,,0.2698384614086545,0.21477781633146173,0.2172181374145679
complexity_diss_ac_seq_std,0.20193932285458568,0.13460173982948517,0.5048379740320894,0.8261113292371881,0.9963909035503794,0.9905565468321603,1.0,0.9937663903305766,-0.27797128870217436,-0.5871170825050956,-0.4813217246600355,-0.4371250349512751,-0.3991115953129718,-0.31778369537938733,-0.31283584924215424,-0.5488792502420738,-0.4867614441693799,-0.520713561279423,-0.3545232421479667,-0.3043430461936941,,,,0.276307055528696,0.22018914277208723,0.22527849225385888
complexity_diss_ac_mset_std,0.22016130571350873,0.11596930804503405,0.4996735245988907,0.8154852283700506,0.9888931821863967,0.9960339758941416,0.9937663903305766,1.0,-0.2998559973376206,-0.5959452480546841,-0.48121175384053383,-0.461158241878515,-0.41899936681019656,-0.3464959539110985,-0.3375305048851003,-0.5536925831194933,-0.48203157625852583,-0.5441092604193705,-0.3728786776794071,-0.33612807559242475,,,,0.26763779195329934,0.21483445760249592,0.21849880777828948
f_score_imts,-0.43130544304624435,-0.16704101961196588,-0.4811078352941611,-0.19304017113095817,-0.27186170596346115,-0.2891108896748493,-0.27797128870217436,-0.2998559973376206,1.0,0.6953995130716897,0.8484515375883279,0.6624357141308217,0.542530117000952,0.5063470377362178,0.9884718425864544,0.7165945818273837,0.854982419106662,0.6992789300691892,0.5303896001354934,0.5310332474846462,,,,-0.019024330308249682,0.11357338857910057,0.08856362183953308
f_score_imto,-0.6620762205461856,-0.18477011894436657,-0.5015903302737514,-0.31789176648563433,-0.5925061230332366,-0.5931796129924846,-0.5871170825050956,-0.5959452480546841,0.6953995130716897,1.0,0.8294775796218093,0.6796469364039353,0.8171718823592194,0.5819280324083387,0.7222740208525034,0.9862530007779767,0.8141006664304078,0.749408473000803,0.7727708680868236,0.5502285369228691,,,,-0.18897944488440174,-0.08276540499998922,-0.034862956596750656
f_score_imtf,-0.6650424339069212,-0.2696801325561965,-0.5201999517050215,-0.2032788698822753,-0.4987079795805712,-0.48741922497172385,-0.4813217246600355,-0.48121175384053383,0.8484515375883279,0.8294775796218093,1.0,0.7086090582436749,0.7253599865756228,0.7193268268368412,0.8638550724249705,0.8179833764008867,0.9899878812937706,0.7734634283122998,0.6722952067657537,0.6903897521598765,,,,-0.14432402511587936,-0.03396062437512291,-0.06453862360636092
f_score_imfts,-0.36934593894897955,-0.5201101832031573,-0.49190321373660567,-0.3391461570780568,-0.42989012504159585,-0.4423815275313184,-0.4371250349512751,-0.461158241878515,0.6624357141308217,0.6796469364039353,0.7086090582436749,1.0,0.5304068257013036,0.5318224021733404,0.7435271431405739,0.6986615037870126,0.7467370941162377,0.9675815503332387,0.5126008324509299,0.5385545619935125,,,,0.2613640561566763,0.12261108027895817,0.09717526764278468
f_score_imfto,-0.7311795300909751,-0.05756197366982628,-0.3250286071881087,-0.061138824320249814,-0.4178502761273566,-0.4289538520997838,-0.3991115953129718,-0.41899936681019656,0.542530117000952,0.8171718823592194,0.7253599865756228,0.5304068257013036,1.0,0.8773987979991242,0.5438763595300662,0.7631485157622843,0.674942700744318,0.5872242131285721,0.9811473206505572,0.8532399008749675,,,,-0.19032155556599317,-0.04840162763296686,-0.012978501911954089
f_score_imftf,-0.6649753847630968,-0.07386799236662331,-0.23625350787015953,0.022877680259105145,-0.33783025780428066,-0.35681529247974775,-0.31778369537938733,-0.3464959539110985,0.5063470377362178,0.5819280324083387,0.7193268268368412,0.5318224021733404,0.8773987979991242,1.0,0.5228104884309398,0.5216069435686778,0.6752528771483548,0.5807181836964356,0.8533809306170045,0.9811745067709382,,,,-0.1359964481783568,0.004429215087221359,-0.0191652752727961
precision_imts,-0.4383217236694422,-0.2244789346513989,-0.49224390536075036,-0.22081209270698185,-0.30544669692731014,-0.3243952922924612,-0.31283584924215424,-0.3375305048851003,0.9884718425864544,0.7222740208525034,0.8638550724249705,0.7435271431405739,0.5438763595300662,0.5228104884309398,1.0,0.7489223636393579,0.8810249361187577,0.7718697942720644,0.5274031153258013,0.5437171959324241,,,,0.023443585833655068,0.13465472142797247,0.1087787290508403
precision_imto,-0.6333267209086526,-0.25331892442258475,-0.5292965810119811,-0.3393113457579674,-0.5491029392930945,-0.545232812699625,-0.5488792502420738,-0.5536925831194933,0.7165945818273837,0.9862530007779767,0.8179833764008867,0.6986615037870126,0.7631485157622843,0.5216069435686778,0.7489223636393579,1.0,0.8197772947032216,0.7658733387815773,0.7379487832371535,0.5022480333339396,,,,-0.16127808353032277,-0.05155081113703632,-0.004028948281826988
precision_imtf,-0.601443526102008,-0.33036274341199245,-0.5421517796281374,-0.2550171429165408,-0.5003177350328109,-0.48427031011301885,-0.4867614441693799,-0.48203157625852583,0.854982419106662,0.8141006664304078,0.9899878812937706,0.7467370941162377,0.674942700744318,0.6752528771483548,0.8810249361187577,0.8197772947032216,1.0,0.8095302580952346,0.635517939398399,0.6603741583747968,,,,-0.12322422871829167,-0.02707990388589894,-0.05993225117283392
precision_imfts,-0.4313674283612798,-0.46252484001471733,-0.5443759273729722,-0.41593193914579457,-0.5140544943593616,-0.5256101475774205,-0.520713561279423,-0.5441092604193705,0.6992789300691892,0.749408473000803,0.7734634283122998,0.9675815503332387,0.5872242131285721,0.5807181836964356,0.7718697942720644,0.7658733387815773,0.8095302580952346,1.0,0.5795866600112723,0.6036323196170483,,,,0.022477760891831865,-0.04000984293552909,-0.06104742818347218
precision_imfto,-0.6840494524477769,-0.10944446235528717,-0.3252596113073297,-0.08682331926302475,-0.36728803550635813,-0.37711186709823924,-0.3545232421479667,-0.3728786776794071,0.5303896001354934,0.7727708680868236,0.6722952067657537,0.5126008324509299,0.9811473206505572,0.8533809306170045,0.5274031153258013,0.7379487832371535,0.635517939398399,0.5795866600112723,1.0,0.8608563553302607,,,,-0.21388982224192302,-0.09527014924014052,-0.05761071762508441
precision_imftf,-0.5894180018068087,-0.11583665001325422,-0.2592208977789224,-0.0328645781342412,-0.3182340045066609,-0.34091641812776463,-0.3043430461936941,-0.33612807559242475,0.5310332474846462,0.5502285369228691,0.6903897521598765,0.5385545619935125,0.8532399008749675,0.9811745067709382,0.5437171959324241,0.5022480333339396,0.6603741583747968,0.6036323196170483,0.8608563553302607,1.0,,,,-0.17429217118430695,-0.08212218379670681,-0.10488911101700298
fitness_imts,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
fitness_imto,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fitness_imtf,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
fitness_imfts,0.18553180461306987,-0.4564991647652686,0.19831168182407044,0.26058439696301533,0.28165720311204223,0.2698384614086545,0.276307055528696,0.26763779195329934,-0.019024330308249682,-0.18897944488440174,-0.14432402511587936,0.2613640561566763,-0.19032155556599317,-0.1359964481783568,0.023443585833655068,-0.16127808353032277,-0.12322422871829167,0.022477760891831865,-0.21388982224192302,-0.17429217118430695,,,,1.0,0.5526510263913595,0.5394985121827615
fitness_imfto,0.039751520908225396,0.20237101693027523,0.06615700973828655,0.2086042728670755,0.22314875872076922,0.21477781633146173,0.22018914277208723,0.21483445760249592,0.11357338857910057,-0.08276540499998922,-0.03396062437512291,0.12261108027895817,-0.04840162763296686,0.004429215087221359,0.13465472142797247,-0.05155081113703632,-0.02707990388589894,-0.04000984293552909,-0.09527014924014052,-0.08212218379670681,,,,0.5526510263913595,1.0,0.9858554943764234
fitness_imftf,0.04707063514537922,0.2254789981822552,0.05874353790042459,0.2115984388595869,0.2273441646505991,0.2172181374145679,0.22527849225385888,0.21849880777828948,0.08856362183953308,-0.034862956596750656,-0.06453862360636092,0.09717526764278468,-0.012978501911954089,-0.0191652752727961,0.1087787290508403,-0.004028948281826988,-0.05993225117283392,-0.06104742818347218,-0.05761071762508441,-0.10488911101700298,,,,0.5394985121827615,0.9858554943764234,1.0
