,observed,loo_pred,leverage
0,0.695434849056943,0.72025960197944,0.22524313651182976
1,0.8260869565217391,0.7872035369051152,0.23414033757458652
2,1.0,0.8463200864029339,0.15760843673658737
3,0.9973916619984584,0.8267987391693918,0.08914281402993782
4,0.7732342007434945,0.7498416364859368,0.2249533485627405
5,0.8231876736549634,0.8874107305524047,0.1343992003916479
6,0.9607484791558643,0.9053167468561795,0.11441426709279738
7,0.6192044336459107,0.8679707258676445,0.0964170763706457
8,0.5446236333177592,0.6885493105640323,0.14220115075229744
9,0.6144587689035305,0.8506287547748917,0.0892030714123719
10,0.6194104106334002,0.8944304106619131,0.10121560322212785
11,0.23089430894308943,0.6141360787318482,0.7723709181148948
12,0.7325384911326026,0.663657803451781,0.13501810576444678
13,0.8914364203317178,0.7711114462205099,0.0576276348897822
14,0.8698675007530502,0.8701449400668262,0.09705872476431615
15,0.4553447478019435,0.7574791174520377,0.5457320918130346
16,0.9523269452402617,0.8572783500693153,0.11144732502270385
17,0.9991146525011066,0.9143961422040394,0.12525572444137567
18,0.5757229832572298,0.5699516581526209,0.25183769909877657
19,1.0,0.4436400009555357,0.2947133334330991
