name,complexity_avg_raw,complexity_avg_norm,complexity_div,complexity_disp,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std
BPIC12 A,3.4645625882920443,0.27384028758800494,2.2,0.266742659309338,-0.20931973160987472,-0.12245314666499678,0.9503285516356078,1.8779596765821656
BPIC12 O,2.4,0.35,2.0,0.32755690440499347,-0.692806355629382,0.24204878800944188,0.5945000947772305,2.5105203510531613
BPIC12 W,1.480182507833544,0.0960365015667088,2.0,0.17943638370825363,-1.110554883421576,-0.973425687719326,0.5945000947772305,0.9698415787104236
BPIC13 Closed Problems,2.343456254519161,0.447818751506387,1.75,0.12750233304941766,-0.7184865222185626,0.710211324898179,0.14971452370425917,0.4296484371020438
BPIC13 Incidents,2.7142857142857144,0.5714285714285715,2.3333333333333335,0.25766988010440417,-0.5500689152489636,1.3018104404864748,1.1875475228745258,1.7835889691241962
BPIC13 Open Problems,3.0,1.0,1.0,0.0,-0.4203076058122198,3.352962025925892,-1.1846421895146548,-0.8965698142879903
BPIC17 Offer,2.1227281362801595,0.1603897337543085,1.25,0.025264087287291993,-0.818733416001267,-0.6654298078499185,-0.7398566184416835,-0.6337848686028682
BPIC20 Domestic Declarations,3.3087165155030585,0.16490832253593274,1.1666666666666667,0.01954772361635676,-0.28009949827472985,-0.6438037499153714,-0.8881184754660072,-0.6932437479085427
BPIC20 International Declarations,6.041259765625,0.19389460637019232,1.3333333333333333,0.022066612850423075,0.9609248675245267,-0.5050748051492149,-0.5915947614173599,-0.6670434675250154
BPIC20 Prepaid Travel Cost,3.4608563465923488,0.11718363555201661,1.1818181818181819,0.02426080246994973,-0.21100297532602016,-0.8722150737825769,-0.8611617741888574,-0.644220557145023
BPIC20 Request For Payment,2.931244390681703,0.16093703255680858,1.1666666666666667,0.021529842856829306,-0.45153396844914173,-0.6628104246348518,-0.8881184754660072,-0.6726266921239462
CCC19,10.720930232558139,0.34717607973421927,1.4074074074074074,0.05458200963952685,3.0862654538504857,0.2285334481053838,-0.45980644406240523,-0.3288338705587795
Helpdesk,4.876765708718948,0.38767657087189483,2.1666666666666665,0.0851932458900007,0.4320529097305028,0.42236962352432655,0.8910238088258777,-0.010430440268167465
Hospital Billing,3.510218631178707,0.17930133079847907,1.8,0.0784801356151349,-0.18858437392951746,-0.5749185192424541,0.23867163791885349,-0.0802570007489889
RTFM,2.3284283748662284,0.14760315276291427,1.6666666666666667,0.023536584542367876,-0.7253116529149408,-0.7266266448865634,0.0014526666799355087,-0.6517535254489887
Sepsis,5.150259067357513,0.46113989637305697,3.111111111111111,0.12637841720136883,0.5562639069176787,0.7739665955288348,2.5713248551015475,0.4179580023071671
WABO Receipt Phase,3.000934361130577,0.15391802777927516,1.1666666666666667,0.00037379121351199026,-0.41988325207895316,-0.6964035244493557,-0.8881184754660072,-0.8926818169650184
Berlin Parliament Gesetzgebung mb,1.9182022471910112,0.10202247191011235,1.2,0.01774763601304678,-0.9116218311379944,-0.9447767117453731,-0.8288137326562779,-0.7119673977156827
Brandenburg Parliament Gesetzgebung mb,6.236012861736334,0.29088960342979636,2.4166666666666665,0.0660514730163444,1.0493748262134603,-0.04085477381938511,1.335809379898849,-0.20953400129215607
Baden Württemberg Parliament Gesetzgebung mb,7.5,0.38235294117647056,1.0,0.0,1.6234330178164957,0.3968906233808489,-1.1846421895146548,-0.8965698142879903
