,observed,loo_pred,leverage
0,0.5447748130232782,0.706343725483108,0.22524313651182976
1,0.8260869565217391,0.7656151665843713,0.23414033757458652
2,1.0,0.8385111905360101,0.15760843673658737
3,0.7903846153846154,0.870133457576241,0.08914281402993782
4,0.7732342007434945,0.6780198011929662,0.2249533485627405
5,0.8231876736549634,1.018035093246775,0.1343992003916479
6,0.9607484791558643,1.0032607824750126,0.11441426709279738
7,0.9704599245186465,0.9314025850791038,0.0964170763706457
8,0.5532411361695169,0.7593526627223971,0.14220115075229744
9,0.9884387252437922,0.9099810493031522,0.0892030714123719
10,0.9714648546707229,0.9577511967465824,0.10121560322212785
11,0.29411764705882354,0.46200100481961204,0.7723709181148948
12,0.7083333333333333,0.6305282848734061,0.13501810576444678
13,0.9610540325452913,0.7820560398142951,0.0576276348897822
14,0.9567983616941887,0.9029592221370198,0.09705872476431615
15,0.4553447478019435,0.4475965170461231,0.5457320918130346
16,0.8276062055966363,0.9789181643584457,0.11144732502270385
17,0.9781910107545311,1.023014590701319,0.12525572444137567
18,0.3382422802850356,0.5610169205834101,0.25183769909877657
19,1.0,0.580122500933594,0.2947133334330991
