,observed,loo_pred,leverage
0,0.24629483405441396,0.5775110501205094,0.22524313651182976
1,0.5757575757575758,0.648261519579601,0.23414033757458652
2,1.0,0.7215104820127418,0.15760843673658737
3,0.7903846153846154,0.7687899372473721,0.08914281402993782
4,0.7732342007434945,0.4836613940478193,0.2249533485627405
5,0.8231876736549634,0.9688693026154405,0.1343992003916479
6,0.9607484791558643,0.95698121854581,0.11441426709279738
7,0.9704599245186465,0.8692443002590236,0.0964170763706457
8,0.5532411361695169,0.6642798478119122,0.14220115075229744
9,0.9596314515499336,0.8393743177093498,0.0892030714123719
10,0.9714648546707229,0.8988508210725079,0.10121560322212785
11,0.08440913604766635,0.015541733690170131,0.7723709181148948
12,0.6276982631284062,0.5392230444162034,0.13501810576444678
13,0.35364843253846,0.7323896208765708,0.0576276348897822
14,0.8816238284317097,0.8614152746785236,0.09705872476431615
15,0.38287937743190664,0.33226685643056075,0.5457320918130346
16,0.8276062055966363,0.9321518584124951,0.11144732502270385
17,0.9524802870374233,0.9760754416006381,0.12525572444137567
18,0.3601201201201201,0.4086915484011342,0.25183769909877657
19,0.7777777777777778,0.5529776070741426,0.2947133334330991
