,observed,loo_pred,leverage
0,0.5447748130232782,0.8771481314843574,0.22524313651182976
1,0.8260869565217391,0.884287144760404,0.23414033757458652
2,1.0,0.868203199111526,0.15760843673658737
3,0.999580677624958,0.883102555910127,0.08914281402993782
4,0.888888888888889,0.779602968523861,0.2249533485627405
5,0.8231876736549634,0.9956759454498176,0.1343992003916479
6,0.9607484791558643,0.9663218758718821,0.11441426709279738
7,1.0,0.9311742599006273,0.0964170763706457
8,0.5655202648229126,0.8518720297599222,0.14220115075229744
9,1.0,0.9266432261466313,0.0892030714123719
10,1.0,0.9461783101533451,0.10121560322212785
11,0.7623318385650225,0.39860496851116406,0.7723709181148948
12,0.7844230573378145,0.71399572105029,0.13501810576444678
13,0.9610540325452913,0.8273915048702554,0.0576276348897822
14,0.9000436431546219,0.8894101375884863,0.09705872476431615
15,0.7084233261339093,0.3777439230181769,0.5457320918130346
16,0.8276062055966363,0.9593905558542462,0.11144732502270385
17,0.9911004992402865,0.9820990478881788,0.12525572444137567
18,0.3468194842406877,0.7322973368566722,0.25183769909877657
19,1.0,0.7293450489554534,0.2947133334330991
