,observed,loo_pred,leverage
0,0.42045094599613786,0.6599230822610513,0.22524313651182976
1,0.7755102040816326,0.6911050069400132,0.23414033757458652
2,1.0,0.7687519253930857,0.15760843673658737
3,0.8648505785840951,0.7694922531472468,0.08914281402993782
4,0.7732342007434945,0.6178918124584144,0.2249533485627405
5,0.8231876736549634,0.8499643245506483,0.1343992003916479
6,0.9607484791558643,0.8691377075826036,0.11441426709279738
7,0.6192044336459107,0.8181790229101848,0.0964170763706457
8,0.5446236333177592,0.5873299608901601,0.14220115075229744
9,0.6003649635036495,0.797784485513376,0.0892030714123719
10,0.6194104106334002,0.8497487741715228,0.10121560322212785
11,0.11764705882352941,0.21773150441717737,0.7723709181148948
12,0.6815662852436977,0.54697505058683,0.13501810576444678
13,0.4723043826404655,0.715210056715981,0.0576276348897822
14,0.8073173823753628,0.8201431114204722,0.09705872476431615
15,0.38287937743190664,0.5190895022077338,0.5457320918130346
16,0.9523269452402617,0.8137459759662048,0.11144732502270385
17,0.9991146525011066,0.8818346145682813,0.12525572444137567
18,0.4213715997352932,0.43976536314609926,0.25183769909877657
19,0.7777777777777778,0.40785499845827305,0.2947133334330991
